# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
 -5.850 -0.34554190E-07  0.11939920E-14  0.00000000E+00   17.111250
 -5.800 -0.15077468E-06  0.22733005E-13  0.00000000E+00   16.820000
 -5.750 -0.27854481E-06  0.77587213E-13  0.00000000E+00   16.531250
 -5.700 -0.42724987E-06  0.18254245E-12  0.00000000E+00   16.245000
 -5.650 -0.60745476E-06  0.36900129E-12  0.00000000E+00   15.961250
 -5.600 -0.83158361E-06  0.69153130E-12  0.00000000E+00   15.680000
 -5.550 -0.11146734E-05  0.12424967E-11  0.00000000E+00   15.401250
 -5.500 -0.14752421E-05  0.21763391E-11  0.00000000E+00   15.125000
 -5.450 -0.19363145E-05  0.37493139E-11  0.00000000E+00   14.851250
 -5.400 -0.25266518E-05  0.63839695E-11  0.00000000E+00   14.580000
 -5.350 -0.32822371E-05  0.10773081E-10  0.00000000E+00   14.311250
 -5.300 -0.42480766E-05  0.18046155E-10  0.00000000E+00   14.045000
 -5.250 -0.54803850E-05  0.30034620E-10  0.00000000E+00   13.781250
 -5.200 -0.70492340E-05  0.49691701E-10  0.00000000E+00   13.520000
 -5.150 -0.90417558E-05  0.81753348E-10  0.00000000E+00   13.261250
 -5.100 -0.11566007E-04  0.13377252E-09  0.00000000E+00   13.005000
 -5.050 -0.14755615E-04  0.21772818E-09  0.00000000E+00   12.751250
 -5.000 -0.18775348E-04  0.35251369E-09  0.00000000E+00   12.500000
 -4.950 -0.23827762E-04  0.56776222E-09  0.00000000E+00   12.251250
 -4.900 -0.30161113E-04  0.90969272E-09  0.00000000E+00   12.005000
 -4.850 -0.38078735E-04  0.14499901E-08  0.00000000E+00   11.761250
 -4.800 -0.47950109E-04  0.22992130E-08  0.00000000E+00   11.520000
 -4.750 -0.60223878E-04  0.36269154E-08  0.00000000E+00   11.281250
 -4.700 -0.75443088E-04  0.56916595E-08  0.00000000E+00   11.045000
 -4.650 -0.94262966E-04  0.88855068E-08  0.00000000E+00   10.811250
 -4.600 -0.11747156E-03  0.13799567E-07  0.00000000E+00   10.580000
 -4.550 -0.14601359E-03  0.21319969E-07  0.00000000E+00   10.351250
 -4.500 -0.18101792E-03  0.32767488E-07  0.00000000E+00   10.125000
 -4.450 -0.22382900E-03  0.50099423E-07  0.00000000E+00    9.901250
 -4.400 -0.27604274E-03  0.76199594E-07  0.00000000E+00    9.680000
 -4.350 -0.33954716E-03  0.11529228E-06  0.00000000E+00    9.461250
 -4.300 -0.41656835E-03  0.17352919E-06  0.00000000E+00    9.245000
 -4.250 -0.50972196E-03  0.25981648E-06  0.00000000E+00    9.031250
 -4.200 -0.62207078E-03  0.38697206E-06  0.00000000E+00    8.820000
 -4.150 -0.75718861E-03  0.57333459E-06  0.00000000E+00    8.611250
 -4.100 -0.91923071E-03  0.84498509E-06  0.00000000E+00    8.405000
 -4.050 -0.11130110E-02  0.12387936E-05  0.00000000E+00    8.201250
 -4.000 -0.13440864E-02  0.18065682E-05  0.00000000E+00    8.000000
 -3.950 -0.16188471E-02  0.26206660E-05  0.00000000E+00    7.801250
 -3.900 -0.19446149E-02  0.37815270E-05  0.00000000E+00    7.605000
 -3.850 -0.23297458E-02  0.54277153E-05  0.00000000E+00    7.411250
 -3.800 -0.27837398E-02  0.77492071E-05  0.00000000E+00    7.220000
 -3.750 -0.33173542E-02  0.11004839E-04  0.00000000E+00    7.031250
 -3.700 -0.39427206E-02  0.15545046E-04  0.00000000E+00    6.845000
 -3.650 -0.46734640E-02  0.21841265E-04  0.00000000E+00    6.661250
 -3.600 -0.55248210E-02  0.30523648E-04  0.00000000E+00    6.480000
 -3.550 -0.65137570E-02  0.42429030E-04  0.00000000E+00    6.301250
 -3.500 -0.76590765E-02  0.58661452E-04  0.00000000E+00    6.125000
 -3.450 -0.89815271E-02  0.80667829E-04  0.00000000E+00    5.951250
 -3.400 -0.10503890E-01  0.11033171E-03  0.00000000E+00    5.780000
 -3.350 -0.12251057E-01  0.15008841E-03  0.00000000E+00    5.611250
 -3.300 -0.14250084E-01  0.20306490E-03  0.00000000E+00    5.445000
 -3.250 -0.16530222E-01  0.27324823E-03  0.00000000E+00    5.281250
 -3.200 -0.19122916E-01  0.36568592E-03  0.00000000E+00    5.120000
 -3.150 -0.22061773E-01  0.48672181E-03  0.00000000E+00    4.961250
 -3.100 -0.25382479E-01  0.64427022E-03  0.00000000E+00    4.805000
 -3.050 -0.29122680E-01  0.84813048E-03  0.00000000E+00    4.651250
 -3.000 -0.33321802E-01  0.11103425E-02  0.00000000E+00    4.500000
 -2.950 -0.38020817E-01  0.14455825E-02  0.00000000E+00    4.351250
 -2.900 -0.43261940E-01  0.18715954E-02  0.00000000E+00    4.205000
 -2.850 -0.49088265E-01  0.24096577E-02  0.00000000E+00    4.061250
 -2.800 -0.55543323E-01  0.30850607E-02  0.00000000E+00    3.920000
 -2.750 -0.62670563E-01  0.39275995E-02  0.00000000E+00    3.781250
 -2.700 -0.70512762E-01  0.49720496E-02  0.00000000E+00    3.645000
 -2.650 -0.79111348E-01  0.62586054E-02  0.00000000E+00    3.511250
 -2.600 -0.88505652E-01  0.78332505E-02  0.00000000E+00    3.380000
 -2.550 -0.98732083E-01  0.97480241E-02  0.00000000E+00    3.251250
 -2.500 -0.10982323E+00  0.12061142E-01  0.00000000E+00    3.125000
 -2.450 -0.12180690E+00  0.14836922E-01  0.00000000E+00    3.001250
 -2.400 -0.13470513E+00  0.18145471E-01  0.00000000E+00    2.880000
 -2.350 -0.14853308E+00  0.22062076E-01  0.00000000E+00    2.761250
 -2.300 -0.16329801E+00  0.26666241E-01  0.00000000E+00    2.645000
 -2.250 -0.17899814E+00  0.32040335E-01  0.00000000E+00    2.531250
 -2.200 -0.19562158E+00  0.38267804E-01  0.00000000E+00    2.420000
 -2.150 -0.21314526E+00  0.45430904E-01  0.00000000E+00    2.311250
 -2.100 -0.23153393E+00  0.53607962E-01  0.00000000E+00    2.205000
 -2.050 -0.25073921E+00  0.62870151E-01  0.00000000E+00    2.101250
 -2.000 -0.27069876E+00  0.73277820E-01  0.00000000E+00    2.000000
 -1.950 -0.29133559E+00  0.84876426E-01  0.00000000E+00    1.901250
 -1.900 -0.31255748E+00  0.97692178E-01  0.00000000E+00    1.805000
 -1.850 -0.33425663E+00  0.11172749E+00  0.00000000E+00    1.711250
 -1.800 -0.35630949E+00  0.12695645E+00  0.00000000E+00    1.620000
 -1.750 -0.37857683E+00  0.14332042E+00  0.00000000E+00    1.531250
 -1.700 -0.40090407E+00  0.16072407E+00  0.96316782E+00    1.445000
 -1.650 -0.42312184E+00  0.17903209E+00  0.60510537E+00    1.361250
 -1.600 -0.44504690E+00  0.19806674E+00  0.48029692E+00    1.280000
 -1.550 -0.46648327E+00  0.21760664E+00  0.41206466E+00    1.201250
 -1.500 -0.48722375E+00  0.23738698E+00  0.36774423E+00    1.125000
 -1.450 -0.50705163E+00  0.25710135E+00  0.33614144E+00    1.051250
 -1.400 -0.52574281E+00  0.27640550E+00  0.31224586E+00    0.980000
 -1.350 -0.54306808E+00  0.29492294E+00  0.29343630E+00    0.911250
 -1.300 -0.55879576E+00  0.31225270E+00  0.27819163E+00    0.845000
 -1.250 -0.57269447E+00  0.32797895E+00  0.26556099E+00    0.781250
 -1.200 -0.58453618E+00  0.34168254E+00  0.25491573E+00    0.720000
