# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
 -4.585  0.36715352E+02  0.13480171E+04  0.00000000E+00   10.511112
 -4.580  0.35924799E+02  0.12905912E+04  0.00000000E+00   10.488200
 -4.575  0.35152195E+02  0.12356768E+04  0.00000000E+00   10.465313
 -4.570  0.34397116E+02  0.11831616E+04  0.00000000E+00   10.442450
 -4.565  0.33659145E+02  0.11329380E+04  0.00000000E+00   10.419613
 -4.560  0.32937877E+02  0.10849037E+04  0.00000000E+00   10.396800
 -4.555  0.32232915E+02  0.10389608E+04  0.00000000E+00   10.374012
 -4.550  0.31543876E+02  0.99501608E+03  0.00000000E+00   10.351250
 -4.545  0.30870381E+02  0.95298042E+03  0.00000000E+00   10.328513
 -4.540  0.30212065E+02  0.91276885E+03  0.00000000E+00   10.305800
 -4.535  0.29568569E+02  0.87430025E+03  0.00000000E+00   10.283113
 -4.530  0.28939544E+02  0.83749718E+03  0.00000000E+00   10.260450
 -4.525  0.28324649E+02  0.80228573E+03  0.00000000E+00   10.237813
 -4.520  0.27723552E+02  0.76859535E+03  0.00000000E+00   10.215200
 -4.515  0.27135930E+02  0.73635867E+03  0.00000000E+00   10.192612
 -4.510  0.26561465E+02  0.70551140E+03  0.00000000E+00   10.170050
 -4.505  0.25999849E+02  0.67599214E+03  0.00000000E+00   10.147512
 -4.500  0.25450781E+02  0.64774226E+03  0.00000000E+00   10.125000
 -4.495  0.24913968E+02  0.62070580E+03  0.00000000E+00   10.102513
 -4.490  0.24389123E+02  0.59482932E+03  0.00000000E+00   10.080050
 -4.485  0.23875967E+02  0.57006178E+03  0.00000000E+00   10.057613
 -4.480  0.23374226E+02  0.54635444E+03  0.00000000E+00   10.035200
 -4.475  0.22883635E+02  0.52366075E+03  0.00000000E+00   10.012813
 -4.470  0.22403934E+02  0.50193627E+03  0.00000000E+00    9.990450
 -4.465  0.21934870E+02  0.48113853E+03  0.00000000E+00    9.968113
 -4.460  0.21476196E+02  0.46122699E+03  0.00000000E+00    9.945800
