  second  0.10000000000000001      -0.84076999268742891       7.00992120467591739E-004
  second  5.00000000000000028E-002 -0.84129569296091933       1.75291846977176924E-004
  second  2.00000000000000004E-002 -0.84144293614918375       2.80486587127537490E-005
  second  1.00000000000000002E-002 -0.84146397257178762       7.01223610888312976E-006
  second  5.00000000000000010E-003 -0.84146923175154598       1.75305635052858122E-006
  second  2.00000000000000004E-003 -0.84147070433804316       2.80469853342069086E-007
  second  1.00000000000000002E-003 -0.84147091472530633       7.00825901756019221E-008
  second  5.00000000000000010E-004 -0.84147096757192230       1.72359742034444707E-008
  second  2.00000000000000010E-004 -0.84147098178277702       3.02511948824246701E-009
  second  1.00000000000000005E-004 -0.84147098178277702       3.02511948824246701E-009
  second  5.00000000000000024E-005 -0.84147089296493505       9.18429614582549902E-008
  second  2.00000000000000016E-005 -0.84147133705414479       3.52246248280785323E-007
  second  1.00000000000000008E-005 -0.84146911660809554       1.86819980096952776E-006
  second  9.99999999999999955E-007 -0.84154905266586866       7.80678579721527655E-005
  second  4.99999999999999977E-007 -0.84199314187571872       5.22157067822215382E-004
