          31         641 accepted u=   37.250330781632435       acc=   1.0000000000000000       du=   -23.271658661418243     
          32         643 accepted u=   37.300608470198860       acc=  0.97517450522313509       du=    5.0277688566424672E-002
          33         644 accepted u=   35.050148501669561       acc=   1.0000000000000000       du=   -2.2504599685292987     
          34         645 accepted u=   33.146718260604750       acc=   1.0000000000000000       du=   -1.9034302410648110     
          35         704 accepted u=   34.816077732037883       acc=  0.43401345818634451       du=    1.6693594714331326     
          36         705 accepted u=   36.144132662034878       acc=  0.51477391999774136       du=    1.3280549299969948     
          37         706 accepted u=   31.375974084471252       acc=   1.0000000000000000       du=   -4.7681585775636250     
          38         997 accepted u=  -4.3338110101919494       acc=   1.0000000000000000       du=   -35.709785094663204     
          39         998 accepted u=  -1.8955309220207450       acc=  0.29548416104839104       du=    2.4382800881712043     
          40         999 accepted u=  -4.0126467617215003       acc=   1.0000000000000000       du=   -2.1171158397007552     
          41        1272 accepted u=  0.84806086186546348       acc=   8.8005689622442249E-002  du=    4.8607076235869640     
          42        1277 accepted u= -0.30070073628880767       acc=   1.0000000000000000       du=   -1.1487615981542711     
          43        1481 accepted u=   2.7470296292300218       acc=  0.21786815717280433       du=    3.0477303655188295     
          44        1482 accepted u=   2.7470296292300218       acc=   1.0000000000000000       du=    0.0000000000000000     
          45        1483 accepted u=   2.8240004486696679       acc=  0.96224574407240349       du=    7.6970819439646121E-002
          46        1544 accepted u=  -1.4572352570064533       acc=   1.0000000000000000       du=   -4.2812357056761208     
          47        1545 accepted u=  -1.4240943853719634       acc=  0.98356609866880473       du=    3.3140871634489866E-002
          48        1546 accepted u=  -1.4240943853719634       acc=   1.0000000000000000       du=    0.0000000000000000     
          49        1547 accepted u=  -1.4240943853719634       acc=   1.0000000000000000       du=    0.0000000000000000     
          50        1688 accepted u=  0.73880655914220661       acc=  0.33910330881608503       du=    2.1629009445141700     
          51        1689 accepted u=  0.80075484223062432       acc=  0.96950064254140034       du=    6.1948283088417710E-002
          52        1742 accepted u=  -2.7378852646398322       acc=   1.0000000000000000       du=   -3.5386401068704565     
          53        1841 accepted u=  -6.5041409405826700       acc=   1.0000000000000000       du=   -3.7662556759428378     
          54        1842 accepted u=  -6.4126053150265774       acc=  0.95526373647634621       du=    9.1535625556092626E-002
          55        1843 accepted u=  -9.0616322615348714       acc=   1.0000000000000000       du=   -2.6490269465082941     
          56        1844 accepted u=  -9.9491210708465196       acc=   1.0000000000000000       du=  -0.88748880931164820     
          57        1845 accepted u=  -10.019215673721380       acc=   1.0000000000000000       du=   -7.0094602874860357E-002
          58        1846 accepted u=  -13.807714236708554       acc=   1.0000000000000000       du=   -3.7884985629871739     
          59        1847 accepted u=  -14.690183120463503       acc=   1.0000000000000000       du=  -0.88246888375494947     
          60        1848 accepted u=  -14.062598026160249       acc=  0.73067059213325236       du=   0.62758509430325482     
          61        1849 accepted u=  -14.062598026160249       acc=   1.0000000000000000       du=    0.0000000000000000     
          62        1850 accepted u=  -14.919738619339835       acc=   1.0000000000000000       du=  -0.85714059317958657     
          63        1982 accepted u=  -16.337711482885357       acc=   1.0000000000000000       du=   -1.4179728635455220     
          64        2110 accepted u=  -10.996617938386436       acc=   6.9214370464265929E-002  du=    5.3410935444989214     
          65        2128 accepted u=  -12.238463418311490       acc=   1.0000000000000000       du=   -1.2418454799250540     
          66        2144 accepted u=  -9.3398153910515838       acc=  0.23472890801778015       du=    2.8986480272599060     
          67        2455 accepted u=  -12.901862354130399       acc=   1.0000000000000000       du=   -3.5620469630788154     
          68        2456 accepted u=  -12.139022546271134       acc=  0.68289108075970806       du=   0.76283980785926531     
          69        2457 accepted u=  -10.265573993880245       acc=  0.39190952233772031       du=    1.8734485523908884     
          70        2458 accepted u=  -10.265573993880245       acc=   1.0000000000000000       du=    0.0000000000000000     
          71        2505 accepted u=  -7.4114013974362791E-002  acc=   6.1228353947464648E-003  du=    10.191459979905883     
          72        2506 accepted u=  -5.6177874376045267E-002  acc=  0.99107202339642653       du=    1.7936139598317524E-002
          73        2507 accepted u=  0.14915684377537275       acc=  0.90242710774750556       du=   0.20533471815141802     
          74        2508 accepted u=  -1.6973688583352029       acc=   1.0000000000000000       du=   -1.8465257021105757     
          75        2509 accepted u=  -1.1806831360864738       acc=  0.77233038464251336       du=   0.51668572224872911     
          76        2535 accepted u=  -2.6040884233590127       acc=   1.0000000000000000       du=   -1.4234052872725389     
          77        2567 accepted u=  -4.5980799457797579       acc=   1.0000000000000000       du=   -1.9939915224207452     
          78        2585 accepted u=  -1.3488060001975315       acc=  0.19698317247698313       du=    3.2492739455822264     
          79        2699 accepted u=  -8.0157637027563329       acc=   1.0000000000000000       du=   -6.6669577025588014     
          80        2970 accepted u=  -8.1661176273962770       acc=   1.0000000000000000       du=  -0.15035392463994413     
          81        3321 accepted u=  -15.872651296792011       acc=   1.0000000000000000       du=   -7.7065336693957338     
          82        3530 accepted u=  -11.415206779579179       acc=  0.10766591147606165       du=    4.4574445172128314     
          83        4370 accepted u=  -10.316235374918364       acc=  0.57724661063873561       du=    1.0989714046608157     
          84        4455 accepted u=  -10.947849636151139       acc=   1.0000000000000000       du=  -0.63161426123277487     
          85        4456 accepted u=  -11.399518223153436       acc=   1.0000000000000000       du=  -0.45166858700229717     
          86        4457 accepted u=  -13.177688462140145       acc=   1.0000000000000000       du=   -1.7781702389867089     
          87        4462 accepted u=  -12.348607912496860       acc=  0.66064392554954898       du=   0.82908054964328493     
          88        4463 accepted u=  -13.096244543882385       acc=   1.0000000000000000       du=  -0.74763663138552516     
