        -100           0
         -98           0
         -96           0
         -94           0
         -92           0
         -90           0
         -88           0
         -86           0
         -84           0
         -82           0
         -80           0
         -78           0
         -76           0
         -74           0
         -72           0
         -70           0
         -68           0
         -66           0
         -64           0
         -62           0
         -60           0
         -58           0
         -56           0
         -54           0
         -52           0
         -50           0
         -48           0
         -46           1
         -44           0
         -42           0
         -40           1
         -38           0
         -36           2
         -34           2
         -32           7
         -30           8
         -28          20
         -26          13
         -24          40
         -22          78
         -20         125
         -18         149
         -16         214
         -14         321
         -12         371
         -10         486
          -8         633
          -6         655
          -4         726
          -2         744
           0         796
           2         767
           4         738
           6         650
           8         598
          10         492
          12         377
          14         331
          16         229
          18         154
          20         104
          22          78
          24          43
          26          24
          28           9
          30          10
          32           3
          34           0
          36           1
          38           0
          40           0
          42           0
          44           0
          46           0
          48           0
          50           0
          52           0
          54           0
          56           0
          58           0
          60           0
          62           0
          64           0
          66           0
          68           0
          70           0
          72           0
          74           0
          76           0
          78           0
          80           0
          82           0
          84           0
          86           0
          88           0
          90           0
          92           0
          94           0
          96           0
          98           0
         100           0
